root /root
daemon /usr/sbin
bin /bin
sys /dev
sync /bin
games /usr/games
man /var/cache/man
lp /var/spool/lpd
mail /var/mail
news /var/spool/news
uucp /var/spool/uucp
proxy /bin
www-data /var/www
backup /var/backups
list /var/list
irc /var/run/ircd
gnats /var/lib/gnats
nobody /nonexistent
systemd-network /run/systemd/netif
systemd-resolve /run/systemd/resolve
syslog /home/syslog
messagebus /nonexistent
_apt /nonexistent
uuidd /run/uuidd
avahi-autoipd /var/lib/avahi-autoipd
usbmux /var/lib/usbmux
dnsmasq /var/lib/misc
rtkit /proc
cups-pk-helper /home/cups-pk-helper
speech-dispatcher /var/run/speech-dispatcher
whoopsie /nonexistent
kernoops /
saned /var/lib/saned
avahi /var/run/avahi-daemon
colord /var/lib/colord
hplip /var/run/hplip
geoclue /var/lib/geoclue
pulse /var/run/pulse
gnome-initial-setup /run/gnome-initial-setup/
gdm /var/lib/gdm3
test2 /home/test2
sshd /run/sshd
